network,registered_country_geoname_id
2.16.10.236/30,
2.16.10.240/30,
2.16.10.244/31,
2.16.10.246/31,
2.16.10.248/29,
2.16.11.0/24,
2.16.12.0/22,
2.16.16.0/23,
2.16.18.0/24,
2.16.19.0/28,
2.16.19.16/30,
2.16.19.20/30,
2.16.19.24/30,
2.16.19.28/30,
2.16.19.32/27,
2.16.19.64/26,
2.16.19.128/25,
2.16.20.0/23,
2.16.22.0/27,
2.16.22.32/28,
2.16.22.48/29,
2.16.22.56/30,
2.16.22.60/31,
2.16.22.62/31,
2.16.22.64/28,
2.16.22.80/29,
2.16.22.88/30,
2.16.22.92/31,
2.16.22.94/31,
2.16.22.96/27,
2.16.22.128/26,
2.16.22.192/31,
2.16.22.194/32,
2.16.22.195/32,
2.16.22.196/32,
2.16.22.197/32,
2.16.22.198/31,
2.16.22.200/29,
2.16.22.208/29,
2.16.22.216/31,
2.16.22.218/31,
2.16.22.220/32,
2.16.22.221/32,
2.16.22.222/31,
2.16.22.224/32,
2.16.22.225/32,
2.16.22.226/31,
2.16.22.228/32,
2.16.22.229/32,
2.16.22.230/31,
2.16.22.232/32,
2.16.22.233/32,
2.16.22.234/31,
2.16.22.236/32,
2.16.22.237/32,
2.16.22.238/31,
2.16.22.240/32,
2.16.22.241/32,
2.16.22.242/31,
2.16.22.244/32,
2.16.22.245/32,
2.16.22.246/31,
2.16.22.248/32,
2.16.22.249/32,
2.16.22.250/31,
2.16.22.252/30,
2.16.23.0/24,
2.16.24.0/21,
2.16.32.0/24,
2.16.33.0/26,
2.16.33.64/29,
2.16.33.72/30,
2.16.33.76/32,
2.16.33.77/32,
2.16.33.78/31,
2.16.33.80/28,
2.16.33.96/27,
2.16.33.128/25,
2.16.34.0/23,
2.16.36.0/24,
2.16.37.0/24,
2.16.38.0/23,
2.16.40.0/21,
2.16.48.0/30,
2.16.48.4/30,
2.16.48.8/30,
2.16.48.12/30,
2.16.48.16/30,
2.16.48.20/30,
2.16.48.24/30,
2.16.48.28/30,
2.16.48.32/30,
2.16.48.36/30,
2.16.48.40/30,
2.16.48.44/30,
2.16.48.48/30,
2.16.48.52/30,
2.16.48.56/30,
2.16.48.60/30,
2.16.48.64/30,
2.16.48.68/30,
2.16.48.72/30,
2.16.48.76/30,
2.16.48.80/30,
2.16.48.84/30,
2.16.48.88/30,
2.16.48.92/30,
2.16.48.96/30,
2.16.48.100/30,
2.16.48.104/30,
2.16.48.108/30,
2.16.48.112/30,
2.16.48.116/30,
2.16.48.120/30,
2.16.48.124/30,
2.16.48.128/28,
2.16.48.144/30,
2.16.48.148/30,
2.16.48.152/30,
2.16.48.156/30,
2.16.48.160/30,
2.16.48.164/30,
2.16.48.168/30,
2.16.48.172/30,
2.16.48.176/30,
2.16.48.180/30,
2.16.48.184/30,
2.16.48.188/30,
2.16.48.192/30,
2.16.48.196/30,
2.16.48.200/30,
2.16.48.204/30,
2.16.48.208/30,
2.16.48.212/30,
2.16.48.216/30,
2.16.48.220/30,
2.16.48.224/30,
2.16.48.228/30,
2.16.48.232/30,
2.16.48.236/30,
2.16.48.240/31,
2.16.48.242/31,
2.16.48.244/30,
2.16.48.248/29,
2.16.49.0/24,
2.16.50.0/23,
2.16.52.0/22,
2.16.56.0/22,
2.16.60.0/30,
2.16.60.4/30,
2.16.60.8/30,
2.16.60.12/30,
2.16.60.16/30,
2.16.60.20/30,
2.16.60.24/30,
2.16.60.28/31,
2.16.60.30/32,
2.16.60.31/32,
2.16.60.32/27,
2.16.60.64/30,
